ngram	freq
<s>	10626
</s>	10626
<s><s>	5313
</s></s>	5313
e	3031
s	1701
a	1643
i	1589
n	1559
t	1514
r	1483
l	1322
e</s>	1191
e</s></s>	1191
o	1133
u	1125
d	927
s</s>	915
s</s></s>	915
c	741
<s><s>d	701
<s>d	701
p	633
es	607
é	591
<s><s>l	581
<s>l	581
m	563
t</s>	513
t</s></s>	513
es</s>	510
de	459
le	407
<s>de	398
nt	383
en	382
<s><s>p	372
<s>p	372
on	364
<s><s>a	362
<s>a	362
<s><s>e	330
<s>e	330
<s><s>c	319
<s>c	319
de</s>	317
n</s>	310
n</s></s>	310
<s><s>s	287
<s>s	287
an	280
g	280
ti	267
la	263
re	261
v	251
'	249
<s><s>'	247
<s>'	247
'</s>	247
'</s></s>	247
<s>'</s>	245
<s><s>,	244
<s>,	244
<s>,</s>	244
,	244
,</s>	244
,</s></s>	244
f	237
a</s>	235
a</s></s>	235
r</s>	234
r</s></s>	234
<s>le	225
te	225
nt</s>	224
er	222
in	210
l</s>	208
l</s></s>	208
ar	205
b	202
is	197
ur	194
ent	193
ne	191
ou	190
<s>la	178
le</s>	175
me	175
et	173
it	173
q	168
qu	168
la</s>	167
<s><s>.	165
<s>.	165
<s>.</s>	165
.	165
.</s>	165
.</s></s>	165
les	163
ie	163
ra	162
<s><s>m	161
<s>m	161
h	159
ri	158
io	157
ion	151
ns	150
co	150
se	149
at	143
ue	142
u</s>	141
u</s></s>	141
al	139
au	138
et</s>	137
ce	137
on</s>	136
st	133
re</s>	129
li	129
tr	128
pa	128
ai	127
or	125
<s><s>i	123
<s>i	123
d</s>	122
d</s></s>	122
<s>co	121
<s>l</s>	120
<s><s>r	120
<s>r	120
il	120
ne</s>	119
<s>et	119
tio	119
po	115
pr	114
ro	113
ta	112
un	108
<s><s>t	105
<s>t	105
ré	104
<s>en	104
ve	103
<s><s>f	102
<s>f	102
ll	102
è	101
<s><s>u	101
<s>u	101
ns</s>	100
so	100
que	99
si	99
à	97
à</s>	97
à</s></s>	97
ui	97
x	96
<s><s>à	96
<s>à	96
<s>à</s>	96
ant	95
eu	95
<s>d</s>	94
<s>pa	93
des	93
<s>un	92
`	92
en</s>	92
<s>pr	91
rt	89
ur</s>	89
<s><s>o	88
<s>o	88
ati	87
i</s>	87
i</s></s>	87
em	85
us	85
ée	84
é</s>	84
é</s></s>	84
par	83
el	83
nc	82
ch	82
<s><s>é	82
<s>é	82
ca	82
men	81
ue</s>	80
ni	80
ci	79
y	78
du	77
<s><s>v	76
<s>v	76
rs	76
er</s>	75
ir	75
ma	75
lu	75
su	75
te</s>	74
om	73
<s>so	73
di	73
nd	72
<s>au	71
ont	70
<s><s>q	69
<s>q	69
<s>qu	69
ét	68
ic	68
<s>po	68
ut	68
iq	67
iqu	67
pl	67
mi	67
oi	67
our	67
ss	66
té	66
na	63
ér	63
sa	63
<s><s>g	63
<s>g	63
<s>ce	62
ol	61
pe	61
se</s>	60
lo	60
<s>in	60
0	60
est	60
rs</s>	59
<s><s>n	59
<s>n	59
eme	58
<s>du	57
ec	57
am	57
nn	57
to	56
<s>su	56
ct	55
da	55
ge	55
<s>ar	54
<s>pl	54
dé	54
x</s>	54
x</s></s>	54
con	53
du</s>	53
res	53
<s>se	53
ux	53
ons	53
<s>es	53
eur	52
ac	52
une	51
av	51
