ngram	freq
<s>	16812
</s>	16812
e	14524
n	8995
i	6902
r	6828
s	5507
t	5505
a	5193
d	4505
h	3607
u	3497
n</s>	3441
en	3329
l	3264
er	3246
g	2757
o	2549
c	2346
<s>d	2341
m	2340
e</s>	2282
de	2084
ch	2044
r</s>	1936
b	1884
ei	1627
te	1567
f	1552
in	1438
t</s>	1414
ie	1362
w	1350
ge	1304
k	1298
s</s>	1207
<s>a	1185
un	1162
nd	1153
z	1142
<s>s	1084
<s>e	1054
be	1046
.	987
an	982
.</s>	924
st	919
es	918
ne	906
<s>.	899
p	896
re	888
v	871
di	869
it	809
<s>w	803
he	796
ng	765
,	755
sc	745
<s>,	739
,</s>	739
<s>b	721
<s>i	702
au	657
ic	653
m</s>	649
d</s>	646
se	643
on	633
<s>m	625
ü	625
<s>u	620
<s>v	620
is	610
<s>g	575
li	571
ä	546
g</s>	533
h</s>	530
nt	526
le	502
<s>n	496
0	488
el	484
<s>f	466
al	457
<s>k	443
<s>z	443
ti	442
ar	441
or	438
me	425
us	415
ha	414
rt	410
ur	407
si	407
hr	404
we	397
la	397
em	396
ve	392
ht	388
ra	382
da	378
mi	376
at	374
rd	370
ll	369
zu	367
et	361
<s>h	358
as	358
ri	355
vo	345
ts	344
ss	337
na	329
ze	326
ns	320
wi	318
ni	315
ta	311
ig	308
<s>p	302
rs	294
ro	293
eh	293
hl	282
ah	280
l</s>	279
<s>l	276
ma	275
wa	272
tr	262
eg	257
ru	257
il	255
am	254
-	251
ac	249
j	247
lt	245
ür	240
ab	237
pr	237
ut	237
eu	235
uf	232
so	229
im	227
ol	227
<s>t	225
io	224
nn	223
<s>r	223
tz	222
ko	216
fe	215
rg	215
2	214
fü	214
00	209
rn	208
eb	201
ö	199
<s>j	198
ag	195
a</s>	195
i</s>	194
ke	187
tt	185
um	184
sa	180
u</s>	177
f</s>	171
<s>2	171
ls	168
om	168
sp	166
ft	165
ka	164
ir	159
1	158
gr	156
ed	154
uc	153
tu	148
mm	148
hn	147
<s>o	146
rb	141
nk	138
fa	134
ba	134
nz	133
y	133
kt	133
no	132
fo	132
lu	131
du	130
ß	130
20	129
ga	129
tl	129
id	127
ik	127
gi	126
bi	126
rl	126
o</s>	125
rk	124
af	124
0</s>	124
os	123
<s>1	122
hi	122
<s>c	122
nu	120
gs	120
ef	118
4	115
pa	114
wu	113
ec	112
fr	112
<s>„	110
„	110
„</s>	110
oc	109
rm	109
to	106
zi	105
gt	102
nf	102
rh	101
wo	101
lo	101
z</s>	100
<s>(	100
(	100
(</s>	100
<s>)	100
)	100
)</s>	100
5	99
än	98
pe	98
ck	98
kr	97
ff	96
ew	95
k</s>	95
<s>“	94
“	94
“</s>	94
rf	93
ue	92
ek	92
bu	91
fi	91
üb	91
4</s>	90
do	90
ot	90
ja	90
ku	88
ai	88
su	86
kl	85
gl	85
ho	82
äh	81
rä	81
ob	81
ad	81
mo	79
dr	78
ih	78
rz	78
ld	78
hm	77
ug	77
vi	76
üh	76
mu	76
op	76
rü	76
ße	76
po	76
nb	75
<s>ü	75
tw	74
ün	74
lä	73
9	72
sg	70
ia	70
zw	68
04	68
hu	68
tä	68
je	67
br	67
bs	67
rc	66
är	66
rr	65
3	64
fl	63
ez	62
gu	62
pl	62
rw	62
of	61
