ngram	freq
<s>	29218
</s>	29218
e	15619
a	14046
o	9921
n	8831
s	8059
i	7887
r	7823
l	7020
d	6608
c	5411
t	5404
a</s>	4847
u	4738
e</s>	4564
s</s>	3522
de	3381
<s>d	3356
m	3355
o</s>	3352
<s>e	3259
p	3031
n</s>	2834
en	2662
<s>l	2179
es	2079
<s>c	2006
l</s>	1910
la	1891
<s>p	1784
<s>a	1762
b	1723
<s>s	1670
er	1666
,	1605
el	1595
g	1578
os	1578
<s>,	1577
,</s>	1577
an	1406
co	1387
nt	1385
ra	1378
on	1375
re	1330
ar	1312
ci	1310
te	1257
ad	1256
or	1221
ue	1171
al	1167
do	1137
ta	1124
v	1121
.	1106
.</s>	1082
as	1081
st	1072
<s>m	1056
f	1039
<s>.	1039
ca	1035
y	1013
na	1011
un	1002
r</s>	992
ó	968
h	936
ro	923
ri	901
in	882
se	862
lo	840
ic	834
da	834
to	814
<s>t	788
y</s>	771
<s>u	730
<s>y	722
po	721
ma	714
ti	705
le	704
ia	699
q	694
qu	689
<s>f	679
si	669
io	669
pa	664
tr	658
'	657
no	652
ie	643
me	602
ac	596
<s>r	587
nd	574
`	574
di	570
is	569
í	561
id	549
li	534
pr	521
<s>q	520
ni	519
ió	517
ón	512
om	498
ec	496
mo	490
<s>i	483
1	480
su	480
nc	477
am	474
<s>n	469
j	468
á	457
ne	455
<s>h	453
ba	443
<s>o	442
z	438
<s>b	434
pe	434
em	418
mi	414
é	392
0	391
rt	386
sa	377
cu	373
at	369
ol	363
<s>g	362
ll	359
vi	357
ó</s>	344
ab	341
so	339
<s>v	339
<s>1	335
<s>'	334
ce	332
it	328
oc	324
ha	322
'</s>	322
il	313
''	311
9	306
ed	304
tu	302
br	301
ur	301
ig	299
ua	290
<s>`	288
`</s>	288
im	287
ve	286
``	286
u</s>	283
gu	277
mp	277
mb	273
2	273
ía	273
fu	273
d</s>	265
ch	261
rr	260
us	252
gr	251
<s>(	251
(	251
(</s>	251
<s>)	250
)	250
)</s>	250
k	244
bi	243
et	242
eg	241
va	239
ir	234
ñ	229
ns	228
go	224
ui	219
x	217
rm	214
ga	213
ul	213
pu	213
ct	201
iv	197
od	197
ob	197
<s>j	196
bl	194
19	192
fi	192
sp	192
ea	191
mu	186
za	183
sc	179
pi	176
<s>2	175
ú	173
ot	171
lu	168
bo	164
rí	164
ge	164
ru	163
ev	157
añ	157
ho	157
du	155
vo	155
gi	153
ip	152
má	151
be	150
ep	150
rc	149
fo	148
8	148
ño	148
rs	146
hi	145
ag	144
ng	143
au	141
i</s>	140
rg	136
he	135
w	135
ap	135
00	134
ud	134
jo	134
ás	134
uc	134
pl	133
cr	131
7	129
rn	126
5	123
6	122
fe	121
ju	120
rd	119
0</s>	119
20	117
ut	115
dr	113
op	111
ub	110
ex	109
és	108
ov	108
ib	108
lt	107
iz	106
4	105
up	104
um	104
cl	103
t</s>	101
eo	100
bu	100
eb	96
av	95
nu	93
3	91
fr	91
án	90
aj	88
fa	88
<s>k	87
ez	86
én	86
ay	86
z</s>	84
-	83
m</s>	83
ej	82
lm	81
gl	80
og	80
if	78
je	77
ja	77
tá	75
th	74
az	74
ié	73
tó	70
zo	68
1</s>	68
sm	68
lí	67
yo	66
6</s>	66
ña	66
ya	66
nf	65
<s>w	64
ou	63
cc	63
2</s>	63
iu	62
nz	62
rá	61
ei	60
ug	59
4</s>	59
tí	59
7</s>	58
8</s>	58
9</s>	58
xi	57
á</s>	57
5</s>	57
rl	56
hu	55
nv	55
eñ	54
lg	53
of	53
